Caneta Azul,2.50,100
Lápis Preto,1.00,200
Caderno Universitário,15.00,30
Borracha Branca,0.75,150
Marca Texto Verde,3.80,90
Lápis de Cor 12 cores,8.90,50
Apontador Duplo,3.20,120
Caderno Brochura,6.50,75
Régua 30cm,2.10,110
Estojo Escolar,12.00,40
Papel Sulfite A4 (500 folhas),25.00,20
Cola Branca 90g,4.30,60
Tesoura Escolar,5.50,85
Compasso Metálico,9.80,30
Corretivo Líquido,3.75,55
Marcador Permanente,4.10,70
Pincel Atômico,3.90,65
Bloco de Notas,2.40,100
Pastas Plásticas,1.50,130
Grampeador Pequeno,10.00,25
Caixa de Clips (100 unid),1.90,95
Bloco Adesivo,3.20,75
Envelope Pardo A4,0.80,200
Caneta Marca Texto Amarela,3.80,90
Pasta Sanfonada,14.00,20
Caneta Esferográfica Azul,1.20,300
Cartucho de Tinta Preta,55.00,15
Fichário Universitário,18.50,25
Lápis Mecânico 0.5mm,6.70,45
Bloco de Papel Quadriculado,4.50,60
Caneta Recarregável Azul,6.90,40
Esquadro Metálico 30cm,8.20,25
Caderno de Caligrafia,9.90,35
Porta Canetas Giratório,12.00,18
Refil de Cola Quente,3.30,90
Fita Dupla Face 10m,5.60,50
Marcador Pastel Rosa,4.70,70
Estojo de Couro Sintético,19.90,12
Lápis com Estampas Divertidas,2.00,100
Notebook Ultra Leve,2999.00,15
Cafeteira Elétrica,199.90,25
Mouse Gamer,129.90,40
Fone de Ouvido com Fio,79.90,60
Chaleira Elétrica,89.90,35
Smartwatch Fitness,299.00,50
Secador de Cabelo,159.90,30
Câmera Digital,899.00,20
Ventilador de Mesa,79.00,100
Processador de Alimentos,189.90,45
Livro de Receitas,29.90,80
